TCGA-EI-6507	123	120	638	616	184	203	886	900	79	73	3849	3722
TCGA-EI-6882	371	394	710	801	116	139	456	512	84	65	5686	5783
TCGA-EO-A22S	61	51	533	618	45	39	341	366	86	66	2292	2278
TCGA-EO-A3AU	54	64	474	463	96	59	505	410	85	75	2768	2821
TCGA-EO-A3AZ	85	105	610	675	81	108	373	370	51	65	4611	4723
TCGA-EY-A1GF	40	39	373	398	145	103	367	322	59	49	1249	1223
TCGA-EY-A1GK	186	200	1173	1183	90	87	660	625	153	150	2626	2663
TCGA-EY-A1GO	29	34	274	309	43	47	207	196	64	50	1236	1229
TCGA-EY-A1GQ	88	107	779	759	87	92	286	315	67	83	1541	1513
TCGA-EY-A1H0	46	39	334	356	110	115	234	273	43	50	992	977
TCGA-EY-A2OM	78	91	616	576	93	106	535	553	46	41	2081	2140
TCGA-EY-A2OP	55	60	554	537	37	44	300	308	39	51	1625	1657
TCGA-EY-A548	46	34	371	406	49	56	392	336	53	59	2106	2214
TCGA-EY-A549	24	19	237	233	45	54	216	229	35	19	8085	8070
TCGA-F1-6177	158	168	1032	1061	69	74	625	651	92	81	5166	5056
TCGA-F1-6874	101	111	713	686	105	109	632	656	77	56	3099	3080
TCGA-F1-A448	101	124	669	722	102	94	302	311	20	28	2030	2022
TCGA-F4-6570	366	395	1439	1575	384	333	1187	1284	125	121	6034	6048
TCGA-F4-6703	107	120	653	686	125	134	381	367	112	106	1906	1819
TCGA-F4-6856	145	141	850	894	145	187	438	428	71	58	4116	4183
TCGA-FI-A2D0	1505	1554	4859	5376	356	327	2097	2146	176	174	38304	38275
TCGA-FI-A2D4	10	12	276	317	42	39	174	171	58	67	1286	1239
TCGA-FI-A2D6	30	31	765	767	79	99	439	422	69	59	2149	2200
TCGA-FP-A4BE	214	198	1385	1475	126	115	795	784	31	36	5750	5722
TCGA-G4-6304	157	148	1113	1150	257	239	745	726	78	107	4097	3919
TCGA-G4-6309	91	103	573	573	58	47	364	398	70	55	3407	3485
TCGA-G4-6320	57	52	501	515	130	146	961	971	87	87	4826	4901
TCGA-G4-6586	239	251	1291	1445	135	119	715	737	64	70	3959	4041
TCGA-G4-6588	282	296	2935	2953	388	411	1552	1510	161	169	6869	7144
TCGA-HF-7132	205	202	1003	1005	95	76	677	745	86	85	4506	4505
TCGA-HF-A5NB	302	319	1688	1819	204	186	602	596	102	81	4819	4697
TCGA-HJ-7597	78	77	787	876	97	98	343	357	27	25	2948	3049
TCGA-HU-A4G8	191	215	1747	1706	144	154	701	679	134	148	5460	5463
TCGA-HU-A4G9	121	132	873	938	71	89	340	358	71	62	2876	2804
TCGA-HU-A4GN	153	171	983	1030	135	113	718	707	84	79	4235	4345
TCGA-HU-A4GQ	230	255	1582	1605	191	182	998	987	81	75	6867	7111
TCGA-HU-A4GT	374	336	2250	2318	175	183	905	955	95	83	4501	4409
TCGA-HU-A4GU	592	574	1112	1037	166	168	1382	1380	110	100	5615	5431
TCGA-HU-A4GX	134	134	994	1037	115	120	689	656	40	47	4643	4597
TCGA-HU-A4H4	335	314	1305	1386	152	133	480	448	43	44	1504	1578
TCGA-HU-A4H8	101	103	625	641	142	125	667	654	104	102	4772	4957
TCGA-MX-A5UJ	194	188	1090	1142	90	107	650	603	112	106	5557	5601
TCGA-PG-A6IB	50	55	342	387	55	63	355	400	48	56	1522	1589
TCGA-PG-A917	152	142	711	684	292	319	716	785	69	82	2557	2625
TCGA-QG-A5Z2	244	279	829	857	123	139	769	729	101	111	4042	4050
TCGA-QS-A5YR	11	12	205	198	39	34	178	192	25	36	970	1035
TCGA-R5-A7ZI	174	176	925	938	152	154	468	504	83	75	2929	2919
TCGA-RD-A8NB	100	105	700	743	73	73	359	361	46	45	2316	2303
TCGA-SJ-A6ZI	128	144	1241	1220	161	152	969	980	54	77	7025	7222
TCGA-SL-A6JA	106	114	614	596	117	117	457	496	38	38	2882	2784
TCGA-SW-A7EA	187	145	782	775	48	57	383	406	76	79	1945	2011
TCGA-VQ-A8E3	129	135	937	999	94	95	422	395	53	56	2192	2277
TCGA-VQ-A8PB	72	64	618	661	97	91	332	355	48	60	2986	3083
TCGA-VQ-A8PO	208	200	1344	1464	118	138	537	581	52	48	2294	2318
TCGA-VQ-A8PP	411	474	1979	2032	226	209	708	714	43	36	4482	4412
TCGA-VQ-A8PT	172	182	1122	1099	143	124	974	975	58	56	4541	4574
TCGA-VQ-A8PX	255	256	1289	1305	145	150	338	340	28	31	1393	1418
TCGA-VQ-A91D	439	454	2185	2331	622	585	1133	1150	290	279	8558	8624
TCGA-VQ-A91E	162	181	1402	1419	97	105	447	420	22	21	2092	2075
TCGA-VQ-A91K	257	227	951	930	236	278	918	860	225	241	4810	4990
TCGA-VQ-AA6D	468	455	800	753	284	278	458	424	167	157	2409	2524
